"","rowid","libro","titulo_poema","verso","letras","palabras","n_versos","total_versos","id_libro"
"1",1,"ABSOLUTO AMOR","1","Ser de ti y en tu rostro",24,7,1,16,1
"2",2,"ABSOLUTO AMOR","1","asir nuestros espacios;",23,3,2,16,1
"3",3,"ABSOLUTO AMOR","1","limitar lo invisible",20,3,3,16,1
"4",4,"ABSOLUTO AMOR","1","muy cerca de tus labios.",24,5,4,16,1
"5",5,"ABSOLUTO AMOR","1","Prenderme con mi noche",22,4,5,16,1
"6",6,"ABSOLUTO AMOR","1","y olvidarme en tus aguas;",25,5,6,16,1
"7",7,"ABSOLUTO AMOR","1","deshojar nuestros campos",24,3,7,16,1
"8",8,"ABSOLUTO AMOR","1","en el cristal del aire.",23,5,8,16,1
"9",9,"ABSOLUTO AMOR","1","En medio de mis años",20,5,9,16,1
"10",10,"ABSOLUTO AMOR","1","intimar tus corolas",19,3,10,16,1
"11",11,"ABSOLUTO AMOR","1","y en el claro de tu alma",24,7,11,16,1
"12",12,"ABSOLUTO AMOR","1","deslizar mis delirios.",22,3,12,16,1
"13",13,"ABSOLUTO AMOR","1","Ser de ti con la música",23,6,13,16,1
"14",14,"ABSOLUTO AMOR","1","que inventamos al mundo",23,4,14,16,1
"15",15,"ABSOLUTO AMOR","1","y en el contorno nuestro",24,5,15,16,1
"16",16,"ABSOLUTO AMOR","1","cristalizar paisajes.",21,2,16,16,1
"17",17,"ABSOLUTO AMOR","2","Nubes cerca de ti",17,4,1,12,1
"18",18,"ABSOLUTO AMOR","2","flotando en medio",17,3,2,12,1
"19",19,"ABSOLUTO AMOR","2","de la voz que del agua",22,6,3,12,1
"20",20,"ABSOLUTO AMOR","2","se acerca a tus oídos.",22,5,4,12,1
"21",21,"ABSOLUTO AMOR","2","¿Hacia dónde la luz",19,4,5,12,1
"22",22,"ABSOLUTO AMOR","2","y las manos del viento?",23,5,6,12,1
"23",23,"ABSOLUTO AMOR","2","Rojo algodón de nube",20,4,7,12,1
"24",24,"ABSOLUTO AMOR","2","lejos y entre los árboles",25,5,8,12,1
"25",25,"ABSOLUTO AMOR","2","una voz que fue tuya",20,5,9,12,1
"26",26,"ABSOLUTO AMOR","2","o del agua o del aire.",22,6,10,12,1
"27",27,"ABSOLUTO AMOR","2","¿En qué sitio la luz",20,5,11,12,1
"28",28,"ABSOLUTO AMOR","2","y tus manos al viento?",22,5,12,12,1
"29",29,"ABSOLUTO AMOR","3","Luz de luna de bahía",20,5,1,16,1
"30",30,"ABSOLUTO AMOR","3","luz que bebía tu boca",21,5,2,16,1
"31",31,"ABSOLUTO AMOR","3","con las ansias de los aires",27,6,3,16,1
"32",32,"ABSOLUTO AMOR","3","y la inquietud de las olas",26,6,4,16,1
"33",33,"ABSOLUTO AMOR","3","luz que bebía tu boca",21,5,5,16,1
"34",34,"ABSOLUTO AMOR","3","con la figura ligera",20,4,6,16,1
"35",35,"ABSOLUTO AMOR","3","y la suavidad de cielo",22,5,7,16,1
"36",36,"ABSOLUTO AMOR","3","en que mis peces nadaban",24,5,8,16,1
"37",37,"ABSOLUTO AMOR","3","con las ansias de los aires",27,6,9,16,1
"38",38,"ABSOLUTO AMOR","3","y el miedo verde a la muerte",28,7,10,16,1
"39",39,"ABSOLUTO AMOR","3","con sus doradas aletas",22,4,11,16,1
"40",40,"ABSOLUTO AMOR","3","y sus gracias marineras",23,4,12,16,1
"41",41,"ABSOLUTO AMOR","3","y la inquietud de las olas",26,6,13,16,1
"42",42,"ABSOLUTO AMOR","3","resbalando en tu figura",23,4,14,16,1
"43",43,"ABSOLUTO AMOR","3","como luz de luna abierta",24,5,15,16,1
"44",44,"ABSOLUTO AMOR","3","deshecha en tus ojos frescos",28,5,16,16,1
"45",45,"ABSOLUTO AMOR","4","Me dio el amor en la frente",27,7,1,20,1
"46",46,"ABSOLUTO AMOR","4","con un pedazo de plata",22,5,2,20,1
"47",47,"ABSOLUTO AMOR","4","y con fragmentos absurdos",25,4,3,20,1
"48",48,"ABSOLUTO AMOR","4","de sangre de hielo y sol.",25,6,4,20,1
"49",49,"ABSOLUTO AMOR","4","Golpeóme labio de luna",22,4,5,20,1
"50",50,"ABSOLUTO AMOR","4","y esferas verdes de aire",24,5,6,20,1
"51",51,"ABSOLUTO AMOR","4","oceánicas con espuma",20,3,7,20,1
"52",52,"ABSOLUTO AMOR","4","conchas peces sin color.",24,4,8,20,1
"53",53,"ABSOLUTO AMOR","4","Mar verde que me lastima",24,5,9,20,1
"54",54,"ABSOLUTO AMOR","4","en los brazos y en el pecho",27,7,10,20,1
"55",55,"ABSOLUTO AMOR","4","martirio marino amor",20,3,11,20,1
"56",56,"ABSOLUTO AMOR","4","de olas que enciende el dolor.",30,6,12,20,1
"57",57,"ABSOLUTO AMOR","4","Me da todavía en la frente",26,6,13,20,1
"58",58,"ABSOLUTO AMOR","4","la playa del otro mar",21,5,14,20,1
"59",59,"ABSOLUTO AMOR","4","playa con polvos de sol",23,5,15,20,1
"60",60,"ABSOLUTO AMOR","4","sábana intensa de luz.",22,4,16,20,1
"61",61,"ABSOLUTO AMOR","4","Y en los labios y en la frente",30,8,17,20,1
"62",62,"ABSOLUTO AMOR","4","me hirió la piel de la mar",26,7,18,20,1
"63",63,"ABSOLUTO AMOR","4","túnica verde deshecha",21,3,19,20,1
"64",64,"ABSOLUTO AMOR","4","en la carne de mis manos.",25,6,20,20,1
"65",65,"ABSOLUTO AMOR","5","Mis noches ya muertas:",22,4,1,20,1
"66",66,"ABSOLUTO AMOR","5","cabezas de estrellas sin cielo",30,5,2,20,1
"67",67,"ABSOLUTO AMOR","5","espacios y cuerpos sin brazos",29,5,3,20,1
"68",68,"ABSOLUTO AMOR","5","mis noches en vilo vacío.",25,5,4,20,1
"69",69,"ABSOLUTO AMOR","5","Caminos helados y sombras",25,4,5,20,1
"70",70,"ABSOLUTO AMOR","5","caídas dormidas en mí",21,4,6,20,1
"71",71,"ABSOLUTO AMOR","5","siluetas y trozos informes",26,4,7,20,1
"72",72,"ABSOLUTO AMOR","5","siluetas enfermas de frío",25,4,8,20,1
"73",73,"ABSOLUTO AMOR","5","que encubren docenas de vidas",29,5,9,20,1
"74",74,"ABSOLUTO AMOR","5","que siempre caminan despacio",28,4,10,20,1
"75",75,"ABSOLUTO AMOR","5","nocturna parada sin ruido",25,4,11,20,1
"76",76,"ABSOLUTO AMOR","5","delgada amorosa de ritmo.",25,4,12,20,1
"77",77,"ABSOLUTO AMOR","5","Sus vidas asidas prendidas",26,4,13,20,1
"78",78,"ABSOLUTO AMOR","5","extensas de muerte y cansancio",30,5,14,20,1
"79",79,"ABSOLUTO AMOR","5","heridas sin sangre perdidas",27,4,15,20,1
"80",80,"ABSOLUTO AMOR","5","nutridas en zonas de hielos.",28,5,16,20,1
"81",81,"ABSOLUTO AMOR","5","Las noches sin vida ya rotas",28,6,17,20,1
"82",82,"ABSOLUTO AMOR","5","estallan y extrañas tormentas",29,4,18,20,1
"83",83,"ABSOLUTO AMOR","5","de carne se encuentran sin rumbo",32,6,19,20,1
"84",84,"ABSOLUTO AMOR","5","y sangran espacios sin aire.",28,5,20,20,1
"85",85,"ABSOLUTO AMOR","6","Sin esa estrella tuya",21,4,1,13,1
"86",86,"ABSOLUTO AMOR","6","sin los muros de vidrio",23,5,2,13,1
"87",87,"ABSOLUTO AMOR","6","que sitian tu belleza",21,4,3,13,1
"88",88,"ABSOLUTO AMOR","6","sin la prisa soñada",19,4,4,13,1
"89",89,"ABSOLUTO AMOR","6","tantas horas y calles",21,4,5,13,1
"90",90,"ABSOLUTO AMOR","6","sin esa huella tuya",19,4,6,13,1
"91",91,"ABSOLUTO AMOR","6","resumen y principio",19,3,7,13,1
"92",92,"ABSOLUTO AMOR","6","de preguntas y siempres",23,4,8,13,1
"93",93,"ABSOLUTO AMOR","6","y el aire de tu ausencia",24,6,9,13,1
"94",94,"ABSOLUTO AMOR","6","ennegrecido y hondo",19,3,10,13,1
"95",95,"ABSOLUTO AMOR","6","húmedo aire alisado",19,3,11,13,1
"96",96,"ABSOLUTO AMOR","6","que duele como espina",21,4,12,13,1
"97",97,"ABSOLUTO AMOR","6","como estrella afilada.",22,3,13,13,1
"98",98,"ABSOLUTO AMOR","II","Para Andrea de Plata",20,4,1,2,1
"99",99,"ABSOLUTO AMOR","II","y Rafael Solana",15,3,2,2,1
"100",100,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","Inmovilizada tarde",18,2,1,34,1
"101",101,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","cercana al suicidio. Sin eternidad",34,5,2,34,1
"102",102,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","en los cabellos ni en el tiempo:",32,7,3,34,1
"103",103,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","madre perfecta del otoño.",25,4,4,34,1
"104",104,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","Sus labios, como los de Andrea,",31,6,5,34,1
"105",105,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","suaves, sin recuerdos.",22,3,6,34,1
"106",106,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","Sus venas, como las de Andrea,",30,6,7,34,1
"107",107,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","finísimas, sin relieve.",23,3,8,34,1
"108",108,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","He sabido que los árboles",25,5,9,34,1
"109",109,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","desprecian su estanque de sonrisas,",35,5,10,34,1
"110",110,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","tarde. Y mañana es futuro,",26,5,11,34,1
"111",111,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","insensible futuro con cabeza de estatua,",40,6,12,34,1
"112",112,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","y no hablarán los odios,",24,5,13,34,1
"113",113,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","y el acuerdo será mutuo",23,5,14,34,1
"114",114,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","en esa revolución del jardín.",29,5,15,34,1
"115",115,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","Por la noche se precipita",25,5,16,34,1
"116",116,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","la inquietud en mis brazos.",27,5,17,34,1
"117",117,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","La inquietud es muy parecida a Andrea",37,7,18,34,1
"118",118,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","en el estilo de no llegar",25,6,19,34,1
"119",119,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","a tiempo. Como Andrea",21,4,20,34,1
"120",120,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","en la manera de ser bellísimos",30,6,21,34,1
"121",121,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","sus hombros. La tarde nunca supo",32,6,22,34,1
"122",122,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","hacerse a la medida de mi dolor.",32,7,23,34,1
"123",123,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","El dolor me tiembla en las manos:",33,7,24,34,1
"124",124,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","la ausencia de los senos",24,5,25,34,1
"125",125,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","de Andrea, exceso de costumbre.",31,5,26,34,1
"126",126,"ABSOLUTO AMOR","ANDREA Y EL TIEMPO","Todo tiene derecho a la belleza.",32,6,27,34,1
